"Restaurant_Id","Restaurant_Name","Cusines","Rating","Price_for_One","Location","Delivery_review_number","Delivery Time","Link"
"1","Leon's - Burgers &amp; Wings (Leon Grill)","American","4.2","300","Sanjay Nagar","5000","42","https://www.swiggy.com/restaurants/leons-burgers-and-wings-leon-grill-80-feet-road-sanjay-nagar-bangalore-48580"
"2","Biryani Pot","North Indian","3.9","250","Maruti Nagar","15000","34","https://www.swiggy.com/restaurants/biryani-pot-maruti-nagar-btm-layout-bangalore-428"
"3","Burger King","American","4.2","175","Shivaji Nagar","1000","32","https://www.swiggy.com/restaurants/burger-king-tasker-town-shivaji-nagar-bangalore-5938"
"4","Burger Seigneur","American","4.4","600","Shivaji Nagar","10000","38","https://www.swiggy.com/restaurants/burger-seigneur-st-marks-road-bangalore-354531"
"5","Sri Punjabi Dhaba","North Indian","3.1","150","Btm Layout","500","37","https://www.swiggy.com/restaurants/sri-punjabi-dhaba-cashier-layout-btm-layout-bangalore-94703"
"6","Hotel Empire","North Indian","4.2","225","Ashok Nagar","15000","37","https://www.swiggy.com/restaurants/hotel-empire-brigade-road-bangalore-30531"
"7","Pizza Hut","Continental","3.6","150","Indiranagar","5000","34","https://www.swiggy.com/restaurants/pizza-hut-cmh-road-Indiranagar-bangalore-10584"
"8","Royal Restaurant","Tibetan","3.9","150","Shivaji Nagar","1000","36","https://www.swiggy.com/restaurants/royal-restaurant-sulthangunta-Shivaji Nagar-bangalore-210945"
"9","Imperio Restaurant","Tibetan","4.0","150","Hoysala Nagar","10000","38","https://www.swiggy.com/restaurants/imperio-restaurant-1st-block-hrbr-layout-bangalore-70161"
"10","Shanghai House","Tibetan","4.0","200","Rt Nagar","500","35","https://www.swiggy.com/restaurants/shanghai-house-bairasandra-r-t-nagar-bangalore-254049"
"11","Meghana Foods","Tibetan","4.5","250","Ashok Nagar","15000","36","https://www.swiggy.com/restaurants/meghana-foods-residency-road-ashok-nagar-bangalore-3241"
"12","New Taj Darbar","Tibetan","3.5","150","Shivaji Nagar","5000","46","https://www.swiggy.com/restaurants/new-taj-darbar-saint-marys-church-road-Shivaji Nagar-bangalore-196047"
